ID;Genre;Developer;ReleaseYear
1;Action-Adventure;Nintendo;2017
2;Open World;Rockstar Games;2013
3;Sandbox;Mojang;2009
4;Platformer;Nintendo;2017
5;RPG;CD Projekt Red;2015
6;Open World;Rockstar Games;2018
7;RPG;CD Projekt Red;2020
8;Action RPG;FromSoftware;2016
9;Action RPG;FromSoftware;2022
10;Action RPG;Guerrilla Games;2017
11;Fighting;Nintendo;2018
12;Battle Royale;Epic Games;2017
13;Action;Santa Monica Studio;2018
14;FPS;Activision;2020
15;Battle Royale;Respawn Entertainment;2019
16;MOBA;Riot Games;2009
17;FPS;Blizzard;2016
18;FPS;Valve;2012
19;Simulation;Maxis;2014
20;Party;Innersloth;2018
21;Sports;EA Sports;2022
22;Sports;2K Sports;2022
23;Action RPG;Ubisoft;2020
24;FPS;Ubisoft;2021
25;Horror;Capcom;2021
26;Action RPG;Capcom;2018
27;FPS;Bungie;2017
28;FPS;343 Industries;2021
29;Action;Naughty Dog;2020
30;Action;Insomniac Games;2020
