ID;Name;Stock_Quantity;Price_in_Euros
8311;Apple;7;4.21
1239;Banana;3;3.74
7069;Carrot;6;8.68
5781;Milk;7;2.32
5809;Butter;1;5.51
2334;Bread;17;7.16
5257;Eggs;5;1.91
1114;Yogurt;20;1.66
8308;Cheese;10;8.03
5271;Ham;15;4.3
3394;Sausage;5;6.94
8616;Chicken Breast;5;6.03
3986;Salmon;16;1.51
2722;Tomato;7;3.22
2823;Cucumber;8;2.34
6442;Bell Pepper;18;7.27
1954;Potatoes;10;5.77
4314;Onions;4;8.7
2811;Garlic;15;1.58
7826;Lemon;10;5.18
8467;Orange;20;0.5
6523;Grapes;17;8.77
3493;Pear;1;2.27
1095;Flour;11;5.01
5408;Sugar;9;7.9
8524;Salt;15;7.32
8553;Pepper;16;5.28
6333;Olive Oil;4;2.86
7520;Vinegar;11;0.68
5478;Pasta;8;9.43
6590;Rice;9;3.77
3233;Lentils;7;4.26
8561;Beans;16;1.15
7445;Peas;14;3.67
4528;Corn;5;8.8
8712;Honey;5;6.69
9708;Jam;2;3.11
4200;Chocolate;11;7.11
2192;Cookies;6;6.83
7237;Tea;5;1.79
5277;Coffee;6;6.78
8635;Mineral Water;8;2.7
1625;Lemonade;3;5.93
4122;Apple Juice;4;7.06
9594;Orange Juice;2;4.1
3926;Red Wine;17;4.16
8104;White Wine;12;1.21
3782;Beer;6;4.59
5934;Chips;10;2.41
6649;Nuts;13;8.2
9577;Ice Cream;19;0.93
