TEST_YEAR,NUM_HEAT,NUM_ICE
1955,1,25
1956,3,46
1957,10,20
1958,9,11
1959,5,17
1960,2,20
1961,11,29
1962,14,25
1963,17,63
1964,17,42
1965,5,18
1966,2,23
1967,17,14
1968,10,30
1969,6,44
1970,4,31
1971,15,30
1972,13,27
1973,9,12
1974,11,3
1975,0,6
1976,8,19
1977,2,23
1978,2,18
1979,6,18
1980,4,28
1981,11,17
1982,6,30
1983,21,15
1984,8,15
1985,11,39
1986,13,36
1987,5,38
1988,19,8
1989,4,12
1990,16,14
1991,12,21
1992,28,10
1993,15,31
1994,28,10
1995,15,21
1996,6,49
1997,3,20
1998,20,20
1999,9,21
2000,26,17
2001,21,15
2002,18,24
2003,40,22
2004,9,20
2005,12,25
2006,22,23
2007,22,16
2008,8,8
2009,14,25
2010,15,35
2011,18,12
2012,31,19
2013,26,17
2014,13,10
2015,42,2
2016,20,13
2017,38,21
2018,37,13
2019,38,3
2020,21,3
2021,24,7
2022,31,6
2024,48,4
