ID;Title;Platforms;Sales
1;The Legend of Zelda: Breath of the Wild;Nintendo Switch;30.7
2;Grand Theft Auto V;PlayStation,Xbox,PC;50.1
3;Minecraft;PC,PlayStation,Xbox,Nintendo Switch;200.0
4;Super Mario Odyssey;Nintendo Switch;26.4
5;The Witcher 3: Wild Hunt;PC,PlayStation,Xbox;50.0
6;Red Dead Redemption 2;PlayStation,Xbox,PC;45.0
7;Cyberpunk 2077;PC,PlayStation,Xbox;25.2
8;Dark Souls III;PC,PlayStation,Xbox,Nintendo Switch;15.8
9;Elden Ring;PC,PlayStation,Xbox,Nintendo Switch;20.5
10;Horizon Zero Dawn;PlayStation,PC;25.0
11;Super Smash Bros. Ultimate;Nintendo Switch;28.3
12;Fortnite;PC,PlayStation,Xbox,Nintendo Switch;300.0
13;God of War;PlayStation,PC;25.5
14;Call of Duty: Warzone;PC,PlayStation,Xbox,Nintendo Switch;100.0
15;Apex Legends;PC,PlayStation,Xbox,Nintendo Switch;85.0
16;League of Legends;PC;120.0
17;Overwatch;PC,PlayStation,Xbox,Nintendo Switch;60.0
18;Counter-Strike: Global Offensive;PC;75.0
19;The Sims 4;PC;40.5
20;Among Us;PC,PlayStation,Xbox,Nintendo Switch;90.0
21;FIFA 23;PC,PlayStation,Xbox,Nintendo Switch;35.0
22;NBA 2K23;PC,PlayStation,Xbox,Nintendo Switch;20.0
23;Assassin's Creed Valhalla;PC,PlayStation,Xbox,Nintendo Switch;18.5
24;Far Cry 6;PC,PlayStation,Xbox,Nintendo Switch;15.2
25;Resident Evil Village;PC,PlayStation,Xbox,Nintendo Switch;12.4
26;Monster Hunter World;PC,PlayStation,Xbox,Nintendo Switch;22.0
27;Destiny 2;PC,PlayStation,Xbox,Nintendo Switch;30.0
28;Halo Infinite;Xbox,PC;12.0
29;The Last of Us Part II;PlayStation;15.6
30;Spider-Man: Miles Morales;PlayStation;10.3
